wavelength_nm,intensity
558.7531,1.0534
558.8142,-1.0256
558.8753,-0.5877
558.9364,-1.3928
558.9974,0.9343
559.0585,-2.2918
559.1196,2.8910
559.1807,1.1333
559.2418,0.2577
559.3029,-0.2378
559.3640,3.3595
559.4251,0.9323
559.4862,-1.2301
559.5472,0.2840
559.6083,1.3542
559.6694,-1.7931
559.7305,1.7243
559.7916,-0.4332
559.8527,0.6820
559.9138,0.3008
559.9749,-3.5506
560.0359,-1.0481
560.0970,1.3034
560.1581,-3.9819
560.2192,-2.6716
560.2803,1.0299
560.3414,-0.8089
560.4025,0.0614
560.4636,-2.9070
560.5246,-0.4744
560.5857,0.4389
560.6468,0.0693
560.7079,-1.9699
560.7690,2.5970
560.8301,-2.0264
560.8912,-1.5404
560.9523,3.3098
561.0133,-2.7469
561.0744,1.0163
561.1355,-0.2920
561.1966,-2.2765
561.2577,1.2828
561.3188,2.4992
561.3799,1.7590
561.4410,0.9848
561.5020,-0.3302
561.5631,0.9788
561.6242,-3.8221
561.6853,0.2492
561.7464,-3.8162
561.8075,-0.9961
561.8686,2.1720
561.9297,2.1109
561.9908,0.4539
562.0518,1.9001
562.1129,-0.8145
562.1740,-1.4286
562.2351,-0.0047
562.2962,2.6671
562.3573,-0.9827
562.4184,-1.2287
562.4795,1.2686
562.5405,1.1150
562.6016,-1.6355
562.6627,-0.1055
562.7238,-1.5715
562.7849,0.8359
562.8460,-1.2143
562.9071,4.5620
562.9682,1.8227
563.0292,-0.6367
563.0903,-0.3642
563.1514,2.4553
563.2125,-1.7822
563.2736,0.7943
563.3347,-1.8122
563.3958,2.6087
563.4569,-0.3877
563.5179,1.5986
563.5790,-0.7875
563.6401,2.3459
563.7012,2.1577
563.7623,-0.3940
563.8234,0.9476
563.8845,2.3649
563.9456,-0.0243
564.0066,-1.9341
564.0677,-0.3110
564.1288,-1.0231
564.1899,-2.2909
564.2510,0.6106
564.3121,-0.0636
564.3732,-1.2961
564.4343,1.8608
564.4953,2.2823
564.5564,1.8549
564.6175,-0.2660
564.6786,2.7676
564.7397,2.7628
564.8008,1.4458
564.8619,1.0576
564.9230,1.5043
564.9841,0.6883
565.0451,0.8823
565.1062,2.0024
565.1673,-0.4732
565.2284,2.1846
565.2895,3.3039
565.3506,-1.0062
565.4117,-1.3664
565.4728,-0.1048
565.5338,-1.8256
565.5949,2.3801
565.6560,2.1495
565.7171,-2.2126
565.7782,0.9096
565.8393,0.1027
565.9004,-1.3753
565.9615,-2.7355
566.0225,0.2073
566.0836,0.6003
566.1447,-1.2480
566.2058,-0.2120
566.2669,-0.5460
566.3280,2.1392
566.3891,2.0692
566.4502,-0.0017
566.5112,-1.6511
566.5723,1.0774
566.6334,3.0851
566.6945,0.7686
566.7556,0.6379
566.8167,1.4317
566.8778,-2.0287
566.9389,2.0264
566.9999,-0.0302
567.0610,0.0378
567.1221,-2.2032
567.1832,0.4073
567.2443,0.6536
567.3054,-3.1721
567.3665,1.0058
567.4276,-4.2583
567.4886,0.3854
567.5497,0.7201
567.6108,0.6138
567.6719,-0.1874
567.7330,1.3085
567.7941,2.8350
567.8552,2.2770
567.9163,2.3668
567.9774,-2.2121
568.0384,-0.6017
568.0995,1.9648
568.1606,-4.7937
568.2217,-0.4096
568.2828,1.0668
568.3439,-0.2172
568.4050,2.4975
568.4661,3.0630
568.5271,1.3536
568.5882,2.9220
568.6493,3.5933
568.7104,-1.8810
568.7715,1.8623
568.8326,1.9035
568.8937,2.9743
568.9548,2.8236
569.0158,3.7710
569.0769,6.8494
569.1380,6.6160
569.1991,6.3510
569.2602,7.5051
569.3213,5.1316
569.3824,8.0694
569.4435,6.9089
569.5045,7.4537
569.5656,10.0057
569.6267,11.4470
569.6878,11.8380
569.7489,13.1608
569.8100,15.6544
569.8711,20.3337
569.9322,16.5944
569.9932,20.5359
570.0543,23.2793
570.1154,22.0884
570.1765,22.6704
570.2376,27.3519
570.2987,28.4630
570.3598,34.1972
570.4209,33.5515
570.4820,36.8596
570.5430,40.9505
570.6041,38.9900
570.6652,42.7387
570.7263,45.9883
570.7874,50.5650
570.8485,55.0710
570.9096,58.8706
570.9707,58.8462
571.0317,61.9077
571.0928,70.5163
571.1539,74.4982
571.2150,75.6538
571.2761,80.6002
571.3372,78.8302
571.3983,88.9509
571.4594,88.8124
571.5204,92.8027
571.5815,101.3081
571.6426,103.8750
571.7037,109.9338
571.7648,111.9278
571.8259,119.0259
571.8870,124.1817
571.9481,126.5868
572.0091,130.0742
572.0702,135.4256
572.1313,137.1092
572.1924,143.4602
572.2535,147.4717
572.3146,149.3392
572.3757,149.9786
572.4368,154.6422
572.4978,159.8181
572.5589,163.5742
572.6200,163.1394
572.6811,165.0202
572.7422,170.1574
572.8033,170.0888
572.8644,169.7642
572.9255,171.0222
572.9865,166.2993
573.0476,174.1361
573.1087,171.5585
573.1698,172.1262
573.2309,173.0036
573.2920,172.0004
573.3531,174.3992
573.4142,167.7537
573.4753,170.2353
573.5363,170.9351
573.5974,164.1168
573.6585,164.8200
573.7196,164.5436
573.7807,161.3672
573.8418,158.1926
573.9029,150.1930
573.9640,148.9109
574.0250,150.1445
574.0861,144.6574
574.1472,143.6133
574.2083,139.2779
574.2694,133.3933
574.3305,128.4170
574.3916,123.3440
574.4527,117.7024
574.5137,117.0835
574.5748,114.9132
574.6359,111.0194
574.6970,107.0575
574.7581,101.8593
574.8192,96.0513
574.8803,92.4862
574.9414,92.3569
575.0024,84.0546
575.0635,81.2921
575.1246,80.0891
575.1857,73.9612
575.2468,67.5707
575.3079,68.8662
575.3690,59.0313
575.4301,58.0756
575.4911,56.0087
575.5522,52.5882
575.6133,50.8896
575.6744,46.6608
575.7355,41.8594
575.7966,39.4714
575.8577,36.7121
575.9188,32.1003
575.9798,33.0061
576.0409,33.4216
576.1020,28.8574
576.1631,26.8328
576.2242,26.3154
576.2853,27.0457
576.3464,19.7219
576.4075,20.2858
576.4686,25.2187
576.5296,20.4605
576.5907,15.8328
576.6518,17.4887
576.7129,15.3415
576.7740,14.2680
576.8351,12.7377
576.8962,16.3759
576.9573,11.2767
577.0183,12.3347
577.0794,11.5924
577.1405,8.3650
577.2016,13.3602
577.2627,16.3283
577.3238,13.6449
577.3849,10.3160
577.4460,16.9708
577.5070,14.1562
577.5681,14.3572
577.6292,15.4669
577.6903,17.6588
577.7514,16.5475
577.8125,17.7443
577.8736,19.1090
577.9347,25.2949
577.9957,21.6876
578.0568,20.7804
578.1179,23.1821
578.1790,26.9427
578.2401,29.2241
578.3012,28.2199
578.3623,29.5169
578.4234,33.4605
578.4844,33.6619
578.5455,32.7161
578.6066,37.2664
578.6677,45.3274
578.7288,45.3375
578.7899,47.0391
578.8510,47.7685
578.9121,47.9861
578.9732,48.6452
579.0342,52.6679
579.0953,56.4560
579.1564,59.1035
579.2175,59.4353
579.2786,65.9372
579.3397,66.1818
579.4008,67.6993
579.4619,68.1444
579.5229,74.5487
579.5840,74.4167
579.6451,74.2712
579.7062,79.2548
579.7673,79.0136
579.8284,83.5650
579.8895,85.6397
579.9506,85.6296
580.0116,90.9674
580.0727,87.9267
580.1338,94.1603
580.1949,93.2593
580.2560,94.6644
580.3171,96.8685
580.3782,94.3833
580.4393,99.3507
580.5003,97.4865
580.5614,96.2682
580.6225,103.9644
580.6836,100.3444
580.7447,97.0311
580.8058,100.2529
580.8669,101.4532
580.9280,101.9856
580.9890,100.9212
581.0501,103.9150
581.1112,97.7602
581.1723,95.7065
581.2334,96.5936
581.2945,93.1291
581.3556,93.6190
581.4167,98.2816
581.4777,89.6205
581.5388,92.3861
581.5999,86.9431
581.6610,87.4921
581.7221,84.8030
581.7832,79.1283
581.8443,80.8803
581.9054,81.4976
581.9665,76.6906
582.0275,78.8154
582.0886,72.8784
582.1497,71.8070
582.2108,69.4461
582.2719,63.7153
582.3330,63.3025
582.3941,60.0373
582.4552,59.9944
582.5162,62.4101
582.5773,56.1517
582.6384,53.3573
582.6995,51.1726
582.7606,50.6578
582.8217,44.5090
582.8828,45.0813
582.9439,44.6657
583.0049,37.4876
583.0660,41.4032
583.1271,35.4861
583.1882,34.1863
583.2493,30.5550
583.3104,30.9412
583.3715,26.1097
583.4326,27.0991
583.4936,24.5796
583.5547,26.0385
583.6158,16.7586
583.6769,22.9758
583.7380,18.8148
583.7991,12.4934
583.8602,15.3274
583.9213,12.7982
583.9823,11.4830
584.0434,15.1841
584.1045,12.3862
584.1656,11.8340
584.2267,10.7321
584.2878,12.6514
584.3489,11.7198
584.4100,8.6116
584.4710,6.2642
584.5321,9.2002
584.5932,9.2852
584.6543,2.1112
584.7154,4.8354
584.7765,4.9955
584.8376,4.0070
584.8987,5.0700
584.9598,1.2989
585.0208,0.5019
585.0819,1.8444
585.1430,2.6881
585.2041,-0.5521
585.2652,2.9263
585.3263,1.1404
585.3874,-0.2527
585.4485,0.7605
585.5095,2.6968
585.5706,2.8827
585.6317,0.7158
585.6928,2.1347
585.7539,3.0873
585.8150,2.3996
585.8761,-2.6729
585.9372,-0.9345
585.9982,3.7702
586.0593,-2.6014
586.1204,-0.7880
586.1815,1.3253
586.2426,-1.9166
586.3037,1.2272
586.3648,-0.2132
586.4259,2.0187
586.4869,0.4648
586.5480,-2.6433
586.6091,-2.3548
586.6702,-2.2914
586.7313,-0.9407
586.7924,2.4372
586.8535,1.6293
586.9146,-1.5052
586.9756,-2.5175
587.0367,0.2263
587.0978,-3.0981
587.1589,-0.5532
587.2200,-1.4660
587.2811,0.7493
587.3422,-0.7871
587.4033,-0.9141
587.4644,-1.7092
587.5254,-2.1800
587.5865,0.0028
587.6476,0.2335
587.7087,2.8441
587.7698,0.4311
587.8309,1.3664
587.8920,-0.8516
587.9531,-1.4172
588.0141,-1.9413
588.0752,2.1563
588.1363,-1.3566
588.1974,-1.9501
588.2585,-2.6458
588.3196,-0.6916
588.3807,-1.3184
588.4418,0.1979
588.5028,2.8008
588.5639,1.0350
588.6250,-1.8565
588.6861,0.1284
588.7472,0.4327
588.8083,1.3438
588.8694,-1.8652
588.9305,-0.5561
588.9915,-0.5399
589.0526,-0.1001
589.1137,1.2778
589.1748,-4.0509
589.2359,-0.0523
589.2970,1.5215
589.3581,-0.5493
589.4192,-2.8844
589.4802,0.3373
589.5413,4.6402
589.6024,-2.1216
589.6635,-2.1344
589.7246,-4.5641
589.7857,-0.6797
589.8468,1.3541
589.9079,-1.6078
589.9689,1.1871
590.0300,0.2192
590.0911,2.5208
590.1522,0.6237
590.2133,4.7360
590.2744,-2.2506
590.3355,-0.3347
590.3966,0.6069
590.4577,0.7973
590.5187,2.0124
590.5798,-2.1198
590.6409,-2.9417
590.7020,-1.5172
590.7631,1.8374
590.8242,0.2685
590.8853,-0.8603
590.9464,-0.6710
591.0074,2.1326
591.0685,2.8990
591.1296,2.9394
591.1907,1.2884
591.2518,2.4686
591.3129,-1.0480
591.3740,-3.0505
591.4351,-2.9035
591.4961,-0.6066
591.5572,1.1311
591.6183,0.5098
591.6794,-3.4465
591.7405,-0.8342
591.8016,3.2295
591.8627,-1.6926
591.9238,-2.2995
591.9848,1.5840
592.0459,-3.6496
592.1070,0.0316
592.1681,0.2412
592.2292,0.1095
592.2903,2.3397
592.3514,-0.0775
592.4125,3.6112
592.4735,1.7585
592.5346,2.9627
592.5957,-2.5715
592.6568,2.7277
592.7179,1.1208
592.7790,2.2786
592.8401,-1.6861
592.9012,-1.4525
592.9623,-1.3669
593.0233,1.6151
593.0844,-1.1141
593.1455,-0.3458
593.2066,-3.1357
593.2677,-1.3932
593.3288,0.2860
593.3899,-0.7507
593.4510,1.0081
593.5120,0.0372
593.5731,3.3714
593.6342,-1.2492
593.6953,-2.9406
593.7564,0.6507
593.8175,0.4398
593.8786,-1.2043
593.9397,1.1509
594.0007,2.8087
594.0618,-1.8063
594.1229,0.9444
594.1840,0.7058
594.2451,1.1500
594.3062,2.2240
594.3673,3.1634
594.4284,4.3660
594.4894,0.5985
594.5505,-3.9056
594.6116,0.5270
594.6727,-1.1054
594.7338,-1.6752
594.7949,1.3329
594.8560,5.9913
594.9171,3.7215
594.9781,-1.4043
595.0392,4.4477
595.1003,1.8634
595.1614,1.7171
595.2225,-1.4247
595.2836,2.7195
595.3447,-0.2603
